,busname,bustype,depature_time,travel_time,end_time,star_rating,price,seat_available,routename,routelink,seatavilable
0,FRESHBUS,Electric A/C Seater (2+2),23:40,06h 15m,05:55,4.7,449.0,30.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,30
1,FRESHBUS,Electric A/C Seater (2+2),10:25,07h 00m,17:25,4.7,339.0,35.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,35
2,FRESHBUS,Electric A/C Seater (2+2),11:20,06h 55m,18:15,4.7,339.0,27.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,27
3,AdYolo Bus,A/C Seater / Sleeper (2+1),22:46,06h 38m,05:24,4.2,450.0,30.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,30
4,FRESHBUS,Electric A/C Seater (2+2),23:20,06h 25m,05:45,4.6,398.0,23.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,23
5,FRESHBUS,Electric A/C Seater (2+2),22:35,06h 30m,05:05,4.6,449.0,31.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,31
6,FRESHBUS,Electric A/C Seater (2+2),23:59,06h 31m,06:30,4.6,449.0,32.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,32
7,AdIntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:50,06h 10m,06:00,4.1,409.0,33.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,33
8,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:05,06h 25m,05:30,4.5,439.0,33.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,33
9,NueGo,Electric A/C Seater (2+2),08:05,04h 40m,12:45,4.6,383.0,17.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,17
10,Sri Sanvi Tours and Travels,A/C Sleeper (2+1),23:12,05h 41m,04:53,4.5,749.0,23.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,23
11,Sri Durga Malleswari Travels,A/C Sleeper (2+1),23:10,06h 15m,05:25,4.4,675.0,16.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,16
12,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:05,06h 55m,06:00,4.4,439.0,32.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,32
13,NueGo,Electric A/C Seater/Sleeper (2+1),23:00,07h 00m,06:00,4.4,383.0,24.0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,24
